Mode,Percentage,Layer,Capacity,Radius,Dimension,Correlation,NormedCapacity,NormedRadius,NormedDimension,NormedCorrelation
FinalTrain_2,256,3,0.13724456169508206,1.2521173790374174,10.894493034835723,0.4307244939939187,0.9917728150438322,0.9922438472227947,1.0286880106139682,0.9595770332792606
FinalTrain_2,256,4,0.1341942042798298,1.217506658166045,11.333786498615433,0.45712806438577586,0.9697299630484589,0.9648164866514033,1.0701673082633687,1.0183994594423664
FinalTrain_2,256,5,0.12839521119019676,1.2011416813469835,11.819288347420336,0.4399090042664896,0.9278245962354351,0.9518480159389046,1.1160097287779869,0.9800384772936354
FinalTrain_2,256,6,0.12376097135532611,1.2034837314111153,12.326498325863403,0.4667512903363907,0.8943361065652276,0.9537039799283262,1.1639018906270784,1.0398382834169262
FinalTrain_2,256,7,0.11646647234945898,1.2163440896238047,13.08104228113279,0.446292390800421,0.8416237387742456,0.9638952060252215,1.235148007154479,0.9942595192773568
FinalTrain_2,256,8,0.11133010291611502,1.20768940130459,13.529001929972576,0.4362012449670877,0.8045067010636345,0.9570367745569405,1.2774455898439043,0.9717782536048383
FinalTrain_2,256,9,0.10800257240483409,1.222782444252454,13.891638375603513,0.3491333627790029,0.7804609081990013,0.9689972977887163,1.3116867209033665,0.7778066052566249
FinalTrain_2,256,10,0.10770795604275703,1.2121900424486052,13.93346979482309,0.32284931752873564,0.778331916746325,0.960603319961126,1.3156365586131664,0.7192504597029769
FinalTrain_2,256,11,0.10665586276508678,1.2211033855711286,14.092673029122963,0.34224365038592625,0.7707291563979628,0.96766672313688,1.330668966073668,0.7624575599376717
FinalTrain_2,256,12,0.10244187656628272,1.2308496789968189,14.468152150056572,0.3388345244733193,0.7402775530460646,0.975390200062265,1.3661227378742664,0.7548626379517839
FinalTrain_2,384,1,0.21579397517130605,1.1581528011117357,6.529035499628785,0.3408217088659632,1.0,1.0,1.0,1.0
FinalTrain_2,384,2,0.21890696573968005,1.1656482754461865,6.547449649975503,0.31525061752888356,1.014425752924301,1.0064719217768638,1.0028203477141096,0.9249722342448083
FinalTrain_2,384,3,0.2175697809321511,1.1389092288932718,6.615579368188945,0.3206734326741592,1.0082291721047139,0.9833842544783455,1.0132552302043818,0.9408832369896725
FinalTrain_2,384,4,0.21799752848439555,1.1133563142761211,6.870695769848094,0.33699848678613303,1.0102113755091644,0.9613207455936613,1.0523293632327064,0.9887823399144632
FinalTrain_2,384,5,0.20256924980441224,1.117377670513166,7.218067548820392,0.3374084877602379,0.9387159657428087,0.9647929612056122,1.1055335124507721,0.9899853177865862
FinalTrain_2,384,6,0.2027457899319909,1.1127109140122824,7.348154302257345,0.3641106355274823,0.9395340614632223,0.9607634786568467,1.125457857087028,1.0683316997001446
FinalTrain_2,384,7,0.19163821277848403,1.1154441609237857,7.68575090807724,0.34552237938972774,0.8880609971912042,0.9631234840973031,1.177164821437136,1.0137921687541718
FinalTrain_2,384,8,0.18742959382848462,1.0972430009894156,7.959465272164023,0.3361000928527511,0.8685580479236984,0.9474078031293872,1.219087455201701,0.9861463753910436
FinalTrain_2,384,9,0.18301458119938663,1.0932454934742857,8.087881573980509,0.2747512290254661,0.848098660095131,0.9439561795514857,1.2387559501614525,0.8061435697264197
FinalTrain_2,384,10,0.1777073117493334,1.1012284744704748,8.291429873130966,0.2573745158519932,0.8235045098375063,0.9508490359936806,1.269931810541141,0.7551588093034658
FinalTrain_2,384,11,0.17648617572802555,1.0960960157145225,8.449705009431112,0.28125351884222716,0.8178457048577173,0.9464174456620547,1.2941735436898036,0.8252218433446012
FinalTrain_2,384,12,0.17279640710599983,1.1028527016588177,8.516128023651909,0.43204786116949784,0.8007471337827065,0.9522514650917959,1.3043470240184944,1.2676653215755445
FinalTrain_3,128,1,0.13086894403251909,1.278493320864756,11.058762011630758,0.4475183474192228,1.0,1.0,1.0,1.0
FinalTrain_3,128,2,0.13312389248878917,1.2765021495126345,11.051388006663677,0.41774581913258485,1.0172305849408378,0.9984425641341836,0.9993331979692369,0.9334719381711788
FinalTrain_3,128,3,0.1365520144198358,1.2534239455607248,10.947407620238653,0.438877883743902,1.0434256609108465,0.9803914694782492,0.9899306639138277,0.9806924928885058
FinalTrain_3,128,4,0.1318082939774351,1.2499668057151618,11.46371934562592,0.4690176671407211,1.0071777911242457,0.9776873960277718,1.0366186860309734,1.048041202881361
FinalTrain_3,128,5,0.1272799296557873,1.2131552327101145,11.972391974688856,0.456123407114575,0.9725755074799108,0.9488944626551137,1.0826159349570244,1.0192283953160275
FinalTrain_3,128,6,0.12016430401858111,1.2149339373415302,12.60952165009621,0.47740204746600173,0.9182033591462462,0.9502857132798824,1.1402290452434443,1.066776480157996
FinalTrain_3,128,7,0.112403439818685,1.2319206854586764,13.29587233763893,0.4439033889668538,0.8589007930770369,0.9635722497364487,1.2022930164927457,0.9919222117412257
FinalTrain_3,128,8,0.11172040386713505,1.201906202879345,13.546443911953645,0.3997217345065658,0.8536815567135172,0.9400958012564286,1.2249512104254106,0.8931963053843635
