Mode,Percentage,Layer,Capacity,Radius,Dimension,Correlation,NormedCapacity,NormedRadius,NormedDimension,NormedCorrelation
FinalTrain_4,0,3,0.22179417353803993,1.1543146772325197,6.598213571283879,0.32067348852879773,1.01846515965315,0.9819451128932583,1.0178119432984254,0.9408834779690165
FinalTrain_4,0,4,0.2145042628610137,1.125772668618697,6.893692301848108,0.33699857056809085,0.9849903396292538,0.9576651774273984,1.0633912167956927,0.9887826667598612
FinalTrain_4,0,5,0.2056942642675564,1.1228268079026371,7.177361573267422,0.3374085715421957,0.9445353696861835,0.9551592112550419,1.1071488141026198,0.9899856447305575
FinalTrain_4,0,6,0.2018332644788098,1.1165697924236127,7.373548183952436,0.3641106355274823,0.9268058968892249,0.9498365328796304,1.1374117137970885,1.068331787240469
FinalTrain_4,0,7,0.1923698202897146,1.1133519258173987,7.7124580416477455,0.34552229560777,0.883350345090149,0.9470991784560605,1.1896904854884292,1.0137920060020251
FinalTrain_4,0,8,0.1843221131667928,1.1146018306072112,8.016684037852427,0.3361000649254318,0.846395770544562,0.9481624395616723,1.2366190744244698,0.9861463742558617
FinalTrain_4,0,9,0.18396259336651435,1.098944886649497,8.105204120188596,0.2747512010981469,0.8447448778049191,0.9348434894474964,1.2502738002150418,0.8061435538416017
FinalTrain_4,0,10,0.1806513015954611,1.1078361511770265,8.237182838330407,0.257374487924674,0.8295396303069027,0.9424070541516901,1.2706322675690795,0.7551587892408981
FinalTrain_4,0,11,0.1705614327842342,1.1237488520994545,8.593681951901669,0.28125354676954645,0.7832075752949026,0.9559435699839001,1.3256242819451056,0.8252219929053717
FinalTrain_4,0,12,0.17060777965170454,1.1263444019194473,8.563628148730043,0.4320478890968171,0.7834203972506133,0.9581515358975999,1.320988311999733,1.2676655073906407
FinalTrain_4,10,1,0.22682883938691248,1.164223744921505,6.241723808757858,0.36013174657007835,1.0,1.0,1.0,1.0
FinalTrain_4,10,2,0.21863109061020028,1.3182906173183206,6.474568708759395,0.32902847670548785,0.9638593187759122,1.132334418593398,1.0373045823775202,0.9136336350215709
FinalTrain_4,10,3,0.2236659447885247,1.1613825251559644,6.44146832706739,0.3355247621486073,0.9860560297053202,0.9975595586519049,1.0320014990136646,0.931672270895777
FinalTrain_4,10,4,0.21679208572669134,1.1341180971973785,6.743817431781147,0.35321786392201443,0.9557518625614401,0.9741410121074655,1.080441499561194,0.9808017962484222
FinalTrain_4,10,5,0.20922311123786946,1.1309386000533095,7.010095414010054,0.3512614155710221,0.9223832022566931,0.971410010306533,1.1231024679711208,0.9753692056211707
FinalTrain_4,10,6,0.2076856027666225,1.1150398489157536,7.146136496088867,0.38124440895068346,0.9156049262870122,0.9577539143826108,1.1448979024131143,1.058624829889849
FinalTrain_4,10,7,0.19635110353514684,1.1165438586581913,7.51481882955435,0.369437157275938,0.8656355341139917,0.9590457706507881,1.2039652922499058,1.0258389069958012
FinalTrain_4,10,8,0.18656319838747792,1.1135275640339721,7.859345274478716,0.3652517457925818,0.8224844728374615,0.9564549502544711,1.259162615213949,1.014217017164598
FinalTrain_4,10,9,0.18707397411243998,1.094950322057121,7.935576786325689,0.30114006019789524,0.8247362840548649,0.940498187597905,1.2713758297333118,0.8361941513514864
FinalTrain_4,10,10,0.17953530635541307,1.1125568782377981,8.239185978914074,0.2869051983688658,0.7915012343257259,0.9556211880155474,1.3200177116702194,0.7966673338337215
FinalTrain_4,10,11,0.16880840515513273,1.1122802053169065,8.620166196875886,0.30972134344257607,0.7442105052047125,0.9553835421832076,1.3810553720401404,0.8600223290292658
FinalTrain_4,10,12,0.174141236299177,1.37001358038305,8.389744228196536,0.44446426353201496,0.7677208805099788,1.1767614140831837,1.344138972702502,1.2341712936033153
FinalTrain_4,20,1,0.21727775435133012,1.18062500830651,6.414484810015614,0.3652847279566318,1.0,1.0,1.0,1.0
FinalTrain_4,20,2,0.2172788472575293,1.1771443483794242,6.468317830542704,0.3297319938050503,1.0000050299958338,0.9970518497384039,1.008392415310273,0.9026711728397184
FinalTrain_4,20,3,0.21282784552912815,1.176144771219111,6.643122697919841,0.333691026438458,0.9795197219545696,0.9962051988939101,1.0356439986493116,0.9135093829547543
FinalTrain_4,20,4,0.22135902507047792,1.133397141593865,6.573488933667829,0.356444781880934,1.018783656575116,0.9599975721500356,1.0247882921795908,0.9757998476280472
FinalTrain_4,20,5,0.21025550792819284,1.128650120696493,6.925564455769331,0.35424726491006064,0.9676807851586013,0.9559768027575751,1.0796758681158172,0.9697839460513072
FinalTrain_4,20,6,0.1954323027376657,1.132890654134004,7.375486578703611,0.37809096776874573,0.8994584066883298,0.9595685727164325,1.1498174517753137,1.035058240413583
FinalTrain_4,20,7,0.19827985065053855,1.11351443126227,7.4077473921210935,0.37423085370016873,0.9125639725175332,0.9431567376837939,1.1548468211437017,1.0244908288216172
FinalTrain_4,20,8,0.19041219209033988,1.1209677093443098,7.6603866772805675,0.38268383884015383,0.8763538294971992,0.9494697312504224,1.1942325695930551,1.0476316406132034
FinalTrain_4,20,9,0.18971696728818993,1.1050502585403361,7.7721399834185965,0.33575655889849293,0.8731541241052436,0.9359875072656826,1.2116545932548053,0.919163964988855
FinalTrain_4,20,10,0.19040786477226665,1.1010495560893367,7.8037200242488085,0.32822821937199725,0.876333913431304,0.9325988763093234,1.2165778321064904,0.8985544542419686
FinalTrain_4,20,11,0.1792272867857994,1.101668527266381,8.173969661159326,0.3489569369673702,0.8248763768793168,0.9331231504630042,1.274298701026845,0.955301194548708
FinalTrain_4,20,12,0.1786900457960162,1.1076875581069348,8.174334878735046,0.4659123050896534,0.8224037768131613,0.9382213237171753,1.2743556374116891,1.2754770989083577
FinalTrain_4,30,1,0.23049714667254145,1.164116863101082,6.144078572523954,0.3626894701048101,1.0,1.0,1.0,1.0
FinalTrain_4,30,2,0.23245059264497786,1.1516095675863531,6.127468381711864,0.32814912920384354,1.0084749247469496,0.9892559794371409,0.9972965529955347,0.9047660774629462
FinalTrain_4,30,3,0.22094383752623234,1.1768143500800645,6.450571761522523,0.33000375454880176,0.9585534602739307,1.010907398888766,1.0498843212014237,0.9098796125882485
FinalTrain_4,30,4,0.2150956974691142,1.1492657399309534,6.712911359485806,0.3479053616878289,0.9331816058213184,0.9872425839356309,1.0925822774314193,0.9592375581990045
