Mode,Percentage,Layer,Capacity,Radius,Dimension,Correlation,NormedCapacity,NormedRadius,NormedDimension,NormedCorrelation
FinalTrain_4,40,11,0.16929720647826585,1.1100141138563366,8.542781898670674,0.2763568543918726,0.7688644784891002,0.9023908073284473,1.3399398140542071,0.7856744796846051
FinalTrain_4,40,12,0.17377655985876392,1.1142681180577647,8.400113283887752,0.2667766947191003,0.7892074940208254,0.9058491185677242,1.3175621671200923,0.7584383650502718
FinalTrain_4,50,1,0.22306430889916704,1.1887774873043846,6.192209127042134,0.3425218123534374,1.0,1.0,1.0,1.0
FinalTrain_4,50,2,0.21681741343108368,1.1604578738490907,6.541733325142734,0.31107386351449895,0.9719950919135738,0.9761775321641478,1.0564458000254198,0.90818701844749
FinalTrain_4,50,3,0.21857165622404964,1.1580810371092878,6.58356826299654,0.32041273114883606,0.9798593836132331,0.9741781363434947,1.0632018602610322,0.9354520488704302
FinalTrain_4,50,4,0.20970756368501775,1.1653219818917195,6.908608225829754,0.3426087221709849,0.9401215493412395,0.9802692213949545,1.1156936214668554,1.0002537351328091
FinalTrain_4,50,5,0.2046154140663288,1.1424584915769622,7.13503130301545,0.31518431807295244,0.9172933808914371,0.9610364460783547,1.1522594209320056,0.9201875813611652
FinalTrain_4,50,6,0.21067463093290292,1.1170737498943886,7.055087926212469,0.3605759864376001,0.9444569235329141,0.9396827933101357,1.1393491048940898,1.0527095601886316
FinalTrain_4,50,7,0.20143474713617615,1.1101182561133454,7.360856620738241,0.34738546671242276,0.9030344124986476,0.933831829731733,1.188728686276515,1.014199546375069
FinalTrain_4,50,8,0.19254111905449953,1.1073270459538376,7.657071896552413,0.3507217759808968,0.8631641700310512,0.9314838628587759,1.2365654549864997,1.0239399750080678
FinalTrain_4,50,9,0.1807732425619355,1.098382245174418,8.067755211980964,0.3169949578900709,0.8104086371058644,0.9239594936013278,1.3028880398674023,0.9254737843176359
FinalTrain_4,50,10,0.1857480154198788,1.0878234403869145,7.955437367806074,0.2903001829351121,0.8327106041148137,0.9150774236595036,1.2847494657542664,0.847537798952087
FinalTrain_4,50,11,0.18021915081058534,1.0884232896701784,8.124627785997518,0.28983753896419584,0.8079246370698002,0.9155820170671598,1.3120725768960668,0.846187099655778
FinalTrain_4,50,12,0.1816952829016024,1.1134916135067847,8.065252257661083,0.2871683574982841,0.8145421551223377,0.9366694990428238,1.3024838296302268,0.8383943653841355
FinalTrain_4,60,1,0.2311326356870994,1.2299715766426969,5.929310597559169,0.3610853807409632,1.0,1.0,1.0,1.0
FinalTrain_4,60,2,0.22363399205223164,1.1666039326138826,6.360241134449041,0.32474280614597634,0.9675569673984975,0.9484803996838844,1.0726780170813224,0.8993518526825698
FinalTrain_4,60,3,0.21492226057107192,1.1697280650615791,6.663730005916217,0.33102740250907975,0.929865485815804,0.951020403458788,1.123862529424479,0.9167565904490425
FinalTrain_4,60,4,0.21384774747122368,1.150822782258879,6.802191977526172,0.33111168715861644,0.9252165832640117,0.9356498996506402,1.1472146492589423,0.9169900107258859
FinalTrain_4,60,5,0.2036029399815221,1.1398582947186264,7.1284716198055,0.29605541696157917,0.8808922174761759,0.9267354761399921,1.2022429087691866,0.8199041909535644
FinalTrain_4,60,6,0.20068122121190782,1.1284661462518413,7.2649825368966345,0.3021097805046757,0.8682513424178842,0.9174733527843606,1.2252659760963276,0.8366713154787188
FinalTrain_4,60,7,0.2020549816638077,1.1132865759314874,7.280732990467729,0.27913838746318065,0.8741949446608821,0.9051319535125273,1.227922347914255,0.7730536940885735
FinalTrain_4,60,8,0.20328611676963965,1.125560264504481,7.258854670642483,0.29806361463516645,0.8795214754736862,0.91511079270367,1.2242324889559044,0.8254657500215786
FinalTrain_4,60,9,0.1942039620466796,1.1101349554153506,7.554357486832838,0.2891288273832504,0.8402273502803267,0.9025696011980621,1.2740701237581695,0.8007214991367008
FinalTrain_4,60,10,0.18905359614676678,1.1050623785474623,7.747518623675581,0.27218124539757776,0.8179441885597757,0.8984454596616095,1.3066474586210555,0.7537863893549215
FinalTrain_4,60,11,0.19897485573358145,1.0984294336391422,7.460184580518871,0.2694323314351693,0.8608687178341521,0.8930526969065341,1.2581875173801644,0.7461734697823608
FinalTrain_4,60,12,0.19635212222058626,1.1246451059496343,7.491747291802546,0.24829121111623484,0.8495214085059023,0.9143667441644795,1.2635106845113766,0.6876246571011274
FinalTrain_4,70,1,0.23970545057260007,1.2551736208642834,5.590330287663417,0.3730772599233585,1.0,1.0,1.0,1.0
FinalTrain_4,70,2,0.22948552722105287,1.2039266627119258,6.022220806404208,0.3299780334877602,0.9573646601396247,0.9591714187579323,1.0772567087304081,0.8844764045805092
FinalTrain_4,70,3,0.22943013037917695,1.209542241730349,6.042383263973818,0.3101697724079873,0.9571335563339182,0.9636453647723143,1.080863375337228,0.8313821444697693
FinalTrain_4,70,4,0.22615644324707185,1.1525891319464152,6.365351197845652,0.3107010058750143,0.9434764320412289,0.9182706780857688,1.1386359786098021,0.8328060679411065
FinalTrain_4,70,5,0.22566032766969946,1.149503311578593,6.417269421108242,0.3075906844740191,0.9414067436958563,0.9158121971899568,1.14792312634366,0.8244691315069904
FinalTrain_4,70,6,0.21078151836749975,1.1599052076669312,6.841007675024671,0.31680502419176104,0.8793355255960688,0.92409941412587,1.2237215554367535,0.8491673393785579
FinalTrain_4,70,7,0.21023124767810286,1.1620829156248509,6.856381326442076,0.32258670538957046,0.8770399136770138,0.925834399566705,1.2264715989272663,0.864664615194825
FinalTrain_4,70,8,0.20657884877605748,1.1495520050779393,6.933273287211052,0.36470738648550105,0.8618028846761269,0.9158509914241063,1.2402260565017424,0.9775653079483406
FinalTrain_4,70,9,0.21521109788486636,1.1299380986441603,6.7737164879083505,0.40814065158680796,0.8978147863170302,0.9002245425346903,1.2116844872039845,1.0939842639314241
FinalTrain_4,70,10,0.19643401089517415,1.1622033677386292,7.192632643800938,0.43871992116006064,0.8194807853803049,0.9259303640705602,1.2866203379205403,1.1759492423906703
FinalTrain_4,70,11,0.20416814503089295,1.1488289172862454,7.047913246252753,0.4851753411154484,0.8517459429611766,0.9152749055506667,1.2607328876087855,1.3004688123181731
FinalTrain_4,70,12,0.21832131437999083,1.1718746338073438,6.625726549459299,0.30567333436999544,0.9107899459877631,0.9336354862209565,1.1852120015307082,0.819329847208565
